Full,Tags,Emphasis,Base,Dataset,Recall Score (Full),Recall Score (Tags),Recall Score (Emphasis),Recall Score (Base),Recall Score (Dataset)
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9689875499177825,0.9784186240280718,0.9570095865811934,0.7960321407780021,1.0,0.9310344827586207,0.8448275862068966,0.9482758620689655,0.9482758620689655,1.0
0.836256842203742,0.86226599068352,0.7708236625616257,0.5589053575465075,1.0,0.8552631578947368,0.7763157894736842,0.9144736842105263,0.868421052631579,1.0
0.5916041652373657,0.6383764509334144,0.495978626221701,0.3467562983036477,1.0,0.7452471482889734,0.6425855513307985,0.7832699619771863,0.7262357414448669,1.0
0.4074181659156725,0.4360394913086371,0.2770386273749298,0.17467544947620045,1.0,0.628808864265928,0.5069252077562327,0.5678670360110804,0.5429362880886427,1.0
0.24899395662121573,0.2692100042777059,0.12547941477472363,0.06891300355902029,1.0,0.5048309178743962,0.38164251207729466,0.3285024154589372,0.3188405797101449,1.0
0.1432235391906351,0.16115480338135793,0.05568575312645559,0.021885110126303287,1.0,0.3927765237020316,0.2708803611738149,0.18058690744920994,0.12641083521444696,1.0
0.0764799555121041,0.09174766696208697,0.024272128757427368,0.007383992563628219,1.0,0.29540481400437635,0.18818380743982493,0.087527352297593,0.0437636761487965,1.0
0.03899237705786587,0.05691176066639995,0.010274465464262169,0.0021715776684395932,1.0,0.19742489270386265,0.12875536480686695,0.03862660944206009,0.012875536480686695,1.0
0.018616193125297463,0.03338449849027403,0.0038389456029891667,0.0007710452602093468,1.0,0.1111111111111111,0.08333333333333333,0.014957264957264958,0.004273504273504274,1.0
0.009533653809739742,0.019780213545881397,0.0014554127725856698,0.0,1.0,0.06382978723404255,0.05531914893617021,0.006382978723404255,0.0,1.0
0.0038644286380416656,0.01164015094810256,0.00046948356807511736,0.0,1.0,0.029787234042553193,0.031914893617021274,0.002127659574468085,0.0,1.0
0.0021959005985108977,0.00731749739643601,0.0,0.0,1.0,0.019189765458422176,0.019189765458422176,0.0,0.0,1.0
0.0011052356563505945,0.005175451284424901,0.0,0.0,1.0,0.010683760683760684,0.01282051282051282,0.0,0.0,1.0
0.0005763279773484067,0.003723108208672655,0.0,0.0,1.0,0.006423982869379015,0.008565310492505354,0.0,0.0,1.0
0.00020325203252032523,0.002263096019247594,0.0,0.0,1.0,0.002145922746781116,0.004291845493562232,0.0,0.0,1.0
0.0,0.0011358458354902745,0.0,0.0,1.0,0.0,0.002150537634408602,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
